key,value
subject,BS
avor_1_start,00:00:49
avor_1_end,00:00:59
avor_2_start,00:00:57
avor_2_end,00:01:07
tvor_1_start,00:02:00
tvor_1_end,00:02:11
tvor_2_start,00:02:15
tvor_2_end,00:02:25
walk_start,00:02:44
walk_end,00:06:19
